순서,구분,콘텐츠 아이디(CID),제목,카테고리,주소,전화번호,홈페이지,정보제공,등록일,수정일,상세 URL,중분류
123,관광정보,rdSpTA,태종대 (부산 국가지질공원),자연관광 > 자연경관(하천‧해양) > 해안절경,부산광역시 영도구 전망로 24,051-888-3637,https://www.bisco.or.kr/taejongdae/,태종대유원지사업소 김창갑 님,2003.11.07,2023.08.28,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=rdSpTA&defaultCid=rdSpTA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
124,관광정보,s250CA,힐링파크 쑥섬쑥섬 (애도),자연관광 > 자연공원 > 생태관광지,전라남도 고흥군 봉래면 나로도항길 120-7,"010-2504-1991, 010-8672-9222",http://www.ssookseom.com/ 고흥 문화관광 http://tour.goheung.go.kr/tour,[글/사진] 고채훈님,2017.03.06,2023.03.13,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=s250CA&defaultCid=s250CA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
125,관광정보,s5RVuA,간현관광지,문화관광 > 도시공원 > 주제공원,강원특별자치도 원주시 지정면 소금산길 26,간현 관광안내소 033-733-1330 소금산그랜드밸리 033-749-4860,간현관광지http://ganhyeon.wonju.go.kr/ 원주 관광포털https://www.wonju.go.kr/ 원주시시설관리공단https://www.wonju.go.kr/,원주시시설관리공단 공공사업부 홍태구 주임님,2003.03.28,2023.08.25,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=s5RVuA&defaultCid=s5RVuA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
126,관광정보,sHVhjA,관북리유적과 부소산성 [유네스코 세계유산] ,역사관광 > 역사유적지 > 성ㆍ산성ㆍ성곽,충청남도 부여군 부여읍 부소로 15,041-830-2880,http://tour.buyeo.go.kr/ http://www.cha.go.kr,"부여군청, 부소산문 매표소",2003.03.02,2023.08.24,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=sHVhjA&defaultCid=sHVhjA&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
127,관광정보,sVoU9A,파주 임진각(평화누리공원),역사관광 > 안보관광지 > 안보관광시설,경기도 파주시 문산읍 임진각로 177,031-953-4744,http://tour.paju.go.kr,임진각(주) 대표이사 박종건 님,2003.04.18,2023.08.25,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=sVoU9A&defaultCid=sVoU9A&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
128,관광정보,tDA1AA,예당호 출렁다리(음악분수),문화관광 > 랜드마크관광 > 다리 / 대교,충청남도 예산군 응봉면 예당관광로 161,041-339-8282~5,http://www.yesan.go.kr/bridge.do,충남 예산군청 문화관광과 윤주형님,2019.06.13,2023.06.27,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=tDA1AA&defaultCid=tDA1AA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
129,관광정보,tDA1JA,목포 해상케이블카,체험관광 > 기타체험 > 기타체험관광,전라남도 목포시 해양대학로 240,061-244-2600,http://www.mmcablecar.com,마케팅 영업부 정진표 차장,2019.06.13,2023.06.23,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=tDA1JA&defaultCid=tDA1JA&categoryName=%EC%B2%B4%ED%97%98%EA%B4%80%EA%B4%91,체험관광
130,관광정보,uWUxgA,남산서울타워,문화관광 > 랜드마크관광 > 타워 / 전망대,서울특별시 용산구 남산공원길 105,02-3455-9277,http://www.seoultower.co.kr,남산서울타워,2002.10.31,2023.06.10,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=uWUxgA&defaultCid=uWUxgA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
131,관광정보,uwnD4A,설악산국립공원(내설악),자연관광 > 자연공원 > 국립공원,강원특별자치도 인제군 북면 ,설악산국립공원사무소 033-801-0900,설악산국립공원 http://seorak.knps.or.kr 설악 케이블카 http://www.sorakcablecar.co.kr,국립공원관리공단 설악산관리사무소 관리과,2004.02.13,2023.07.03,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=uwnD4A&defaultCid=uwnD4A&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
132,관광정보,uwnD9A,설악산국립공원(남설악),자연관광 > 자연공원 > 국립공원,강원특별자치도 양양군 서면 설악로 801,033-801-0900,http://seorak.knps.or.kr 설악케이블카 http://www.sorakcablecar.co.kr,[사진] 국립공원,2004.02.13,2023.07.10,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=uwnD9A&defaultCid=uwnD9A&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
133,관광정보,uxxI3A,경주 대릉원 일원,"역사관광 > 역사유적지 > 고분, 능",경상북도 경주시 계림로 9,054-750-8650,http://www.gyeongju.go.kr/tour,문화재청,2011.12.14,2023.08.24,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=uxxI3A&defaultCid=uxxI3A&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
134,관광정보,vUuKpA,수성못 유원지,문화관광 > 도시공원 > 주제공원,대구광역시 수성구 용학로 35-5,053-666-2863 수성못 관광안내소 053-761-0645,http://www.suseong.kr/tour/index.do,수성구청,2010.10.22,2023.03.10,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=vUuKpA&defaultCid=vUuKpA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
135,관광정보,w7676A,소노벨 비발디파크,숙박 > 콘도미니엄 > 콘도,강원특별자치도 홍천군 서면 한치골길 262,1588-4888,http://www.vivaldipark.com,비발디파크,2007.10.12,2023.07.02,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=w7676A&defaultCid=w7676A&categoryName=%EC%88%99%EB%B0%95,숙박
136,관광정보,wGimkA,광명동굴,자연관광 > 자연생태 > 동굴,경기도 광명시 가학로85번길 142,070-4277-8902,http://www.gm.go.kr/cv/index.do,,2020.03.17,2023.09.07,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=wGimkA&defaultCid=wGimkA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
137,관광정보,wK7Q1A,안동 하회마을 [유네스코 세계문화유산] ,역사관광 > 역사유적지 > 민속마을,경상북도 안동시 풍천면 하회종가길 2-1,마을관광안내전화 054-852-3588 / 문화관광해설·통역안내 054-840-3803 / 안동하회마을관리사무소 054-854-3669,http://www.hahoe.or.kr,안동 하회마을,2009.12.11,2023.01.18,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=wK7Q1A&defaultCid=wK7Q1A&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
138,관광정보,wO7NCA,안성팜랜드,체험관광 > 산업관광 > 기타산업관광지,경기도 안성시 공도읍 대신두길 28,031-8053-7979,http://www.nhasfarmland.com/,관광콘텐츠팀,2016.12.19,2023.08.24,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=wO7NCA&defaultCid=wO7NCA&categoryName=%EC%B2%B4%ED%97%98%EA%B4%80%EA%B4%91,체험관광
139,관광정보,wVtd3A,[제주올레 10코스] 화순-모슬포 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 서귀포시 안덕면 화순해안로 85,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.22,2023.03.07,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=wVtd3A&defaultCid=wVtd3A&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
140,관광정보,wVtdiA,[제주올레 11코스] 모슬포-무릉 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 서귀포시 대정읍 하모리 2140,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.22,2023.08.03,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=wVtdiA&defaultCid=wVtdiA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
141,관광정보,x2PW9A,원대리 자작나무 숲 (속삭이는 자작나무 숲),자연관광 > 자연경관(산) > 숲,강원특별자치도 인제군 인제읍 자작나무숲길 760,국유림관리소 033-460-8036 자작나무숲입구안내소 033-461-9696,https://www.forest.go.kr/,[글/사진] 산림청,2013.06.13,2023.08.18,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=x2PW9A&defaultCid=x2PW9A&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
142,관광정보,x53vYA,대왕암공원,문화관광 > 도시공원 > 시민공원,울산광역시 동구 등대로 95,052-209-3738,https://daewangam.donggu.ulsan.kr/,울산광역시청,2003.06.30,2023.06.19,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=x53vYA&defaultCid=x53vYA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
143,관광정보,x6hp4A,대천해수욕장,자연관광 > 자연경관(하천‧해양) > 해변. 해수욕장,충청남도 보령시 머드로 123,보령시 해수욕장경영과 041-930-6810 보령시 대천5동주민센터 041-930-0815,대천해수욕장 http://daecheonbeach.kr/ 보령 문화관광 https://www.brcn.go.kr/tour.do,보령시청,2003.12.05,2023.09.05,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=x6hp4A&defaultCid=x6hp4A&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
144,관광정보,x6hpwA,대한다원,체험관광 > 산업관광 > 화장품/주류/먹거리,전라남도 보성군 보성읍 녹차로 763-65,061-852-4540,http://dhdawon.com,관광콘텐츠팀,2004.01.12,2023.02.15,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=x6hpwA&defaultCid=x6hpwA&categoryName=%EC%B2%B4%ED%97%98%EA%B4%80%EA%B4%91,체험관광
145,관광정보,xp5BjA,팔공산자연공원(파계사지구),자연관광 > 자연공원 > 자연휴양림,대구광역시 동구 파계로 741,053-939-0080,https://tour.daegu.go.kr/,팔공산자연공원관리사무소,2003.03.25,2023.02.17,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=xp5BjA&defaultCid=xp5BjA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
146,관광정보,y0OTAA,[제주올레 6코스] 쇠소깍-제주올레 여행자센터 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 서귀포시 하효동 995-4,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.22,2023.02.14,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=y0OTAA&defaultCid=y0OTAA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
147,관광정보,y0OTIA,[제주올레 7코스] 제주올레 여행자센터 - 월평 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 서귀포시 서홍동 780-4,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.22,2023.06.12,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=y0OTIA&defaultCid=y0OTIA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
148,관광정보,zpBjPA,성산일출봉 [유네스코 세계자연유산],"자연관광 > 자연경관(산) > 산, 고개, 오름, 봉우리",제주특별자치도 서귀포시 성산읍 일출로 284-12,064-710-7923,http://www.jeju.go.kr/jejuwnh/index.htm,제주시 관광지관리사무소,2003.07.22,2023.08.28,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=zpBjPA&defaultCid=zpBjPA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
